kafka-init-1  | 2026-09-21T21:52:22.690427887Z Created topic dados-sensores.
kafka-init-1  | 2026-09-21T21:52:24.258608845Z Topic: dados-sensores	TopicId: TOQUTEIYQC2WEzitbIedXg	PartitionCount: 6	ReplicationFactor: 3	Configs: min.insync.replicas=2
kafka-init-1  | 2026-09-21T21:52:24.260417975Z 	Topic: dados-sensores	Partition: 0	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T21:52:24.260847982Z 	Topic: dados-sensores	Partition: 1	Leader: 1	Replicas: 1,2,3	Isr: 1,2,3	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T21:52:24.261066286Z 	Topic: dados-sensores	Partition: 2	Leader: 2	Replicas: 2,3,1	Isr: 2,3,1	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T21:52:24.261681996Z 	Topic: dados-sensores	Partition: 3	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T21:52:24.262121104Z 	Topic: dados-sensores	Partition: 4	Leader: 1	Replicas: 1,2,3	Isr: 1,2,3	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T21:52:24.262507710Z 	Topic: dados-sensores	Partition: 5	Leader: 2	Replicas: 2,3,1	Isr: 2,3,1	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:02:37.453079592Z Topic: dados-sensores	TopicId: TOQUTEIYQC2WEzitbIedXg	PartitionCount: 6	ReplicationFactor: 3	Configs: min.insync.replicas=2
kafka-init-1  | 2026-09-21T22:02:37.455057260Z 	Topic: dados-sensores	Partition: 0	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:02:37.455350285Z 	Topic: dados-sensores	Partition: 1	Leader: 1	Replicas: 1,2,3	Isr: 1,3,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:02:37.455725717Z 	Topic: dados-sensores	Partition: 2	Leader: 3	Replicas: 2,3,1	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:02:37.456433177Z 	Topic: dados-sensores	Partition: 3	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:02:37.456832511Z 	Topic: dados-sensores	Partition: 4	Leader: 1	Replicas: 1,2,3	Isr: 1,3,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:02:37.457252346Z 	Topic: dados-sensores	Partition: 5	Leader: 3	Replicas: 2,3,1	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:04:20.203549351Z Topic: dados-sensores	TopicId: TOQUTEIYQC2WEzitbIedXg	PartitionCount: 6	ReplicationFactor: 3	Configs: min.insync.replicas=2
kafka-init-1  | 2026-09-21T22:04:20.205416600Z 	Topic: dados-sensores	Partition: 0	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:04:20.206101954Z 	Topic: dados-sensores	Partition: 1	Leader: 1	Replicas: 1,2,3	Isr: 1,3,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:04:20.206393377Z 	Topic: dados-sensores	Partition: 2	Leader: 2	Replicas: 2,3,1	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:04:20.206999526Z 	Topic: dados-sensores	Partition: 3	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:04:20.207525867Z 	Topic: dados-sensores	Partition: 4	Leader: 1	Replicas: 1,2,3	Isr: 1,3,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:04:20.207975503Z 	Topic: dados-sensores	Partition: 5	Leader: 2	Replicas: 2,3,1	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:05:05.414322040Z Topic: dados-sensores	TopicId: TOQUTEIYQC2WEzitbIedXg	PartitionCount: 6	ReplicationFactor: 3	Configs: min.insync.replicas=2
kafka-init-1  | 2026-09-21T22:05:05.416957859Z 	Topic: dados-sensores	Partition: 0	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:05:05.417221681Z 	Topic: dados-sensores	Partition: 1	Leader: 1	Replicas: 1,2,3	Isr: 1,3,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:05:05.417568410Z 	Topic: dados-sensores	Partition: 2	Leader: 2	Replicas: 2,3,1	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:05:05.418082852Z 	Topic: dados-sensores	Partition: 3	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:05:05.418650300Z 	Topic: dados-sensores	Partition: 4	Leader: 1	Replicas: 1,2,3	Isr: 1,3,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:05:05.418810413Z 	Topic: dados-sensores	Partition: 5	Leader: 2	Replicas: 2,3,1	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:05:37.406030053Z Topic: dados-sensores	TopicId: TOQUTEIYQC2WEzitbIedXg	PartitionCount: 6	ReplicationFactor: 3	Configs: min.insync.replicas=2
kafka-init-1  | 2026-09-21T22:05:37.407869105Z 	Topic: dados-sensores	Partition: 0	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:05:37.408250236Z 	Topic: dados-sensores	Partition: 1	Leader: 1	Replicas: 1,2,3	Isr: 1,3,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:05:37.408622367Z 	Topic: dados-sensores	Partition: 2	Leader: 2	Replicas: 2,3,1	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:05:37.409216416Z 	Topic: dados-sensores	Partition: 3	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:05:37.409692955Z 	Topic: dados-sensores	Partition: 4	Leader: 1	Replicas: 1,2,3	Isr: 1,3,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:05:37.410159094Z 	Topic: dados-sensores	Partition: 5	Leader: 2	Replicas: 2,3,1	Isr: 3,1,2	Elr: 	LastKnownElr: 
