sensor-consumer-1  | 2026-09-21T21:52:33.328863897Z 2026-09-21 21:52:33.328 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-c0aa95a89b68 RECEBEU particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T22:02:41.091484610Z 2026-09-21 22:02:41.091 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-c0aa95a89b68 RECEBEU particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T22:03:48.276449254Z 2026-09-21 22:03:48.276 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-c0aa95a89b68 PERDEU particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T22:04:23.120893152Z 2026-09-21 22:04:23.120 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-c0aa95a89b68 RECEBEU particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T22:05:02.126664914Z 2026-09-21 22:05:02.126 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-c0aa95a89b68 PERDEU particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T22:05:02.135143113Z 2026-09-21 22:05:02.134 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-c0aa95a89b68 RECEBEU particoes=[0, 1, 2, 3, 4, 5]
sensor-consumer-1  | 2026-09-21T22:05:41.141866633Z 2026-09-21 22:05:41.141 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-c0aa95a89b68 PERDEU particoes=[0, 1, 2, 3, 4, 5]
sensor-consumer-1  | 2026-09-21T22:05:41.148179454Z 2026-09-21 22:05:41.147 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-c0aa95a89b68 RECEBEU particoes=[1, 3, 5]
sensor-consumer-1  | 2026-09-21T22:06:11.154904584Z 2026-09-21 22:06:11.154 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-c0aa95a89b68 PERDEU particoes=[1, 3, 5]
sensor-consumer-1  | 2026-09-21T22:06:11.167255430Z 2026-09-21 22:06:11.166 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-c0aa95a89b68 RECEBEU particoes=[2, 5]
sensor-consumer-1  | 2026-09-21T22:06:44.170184483Z 2026-09-21 22:06:44.169 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-c0aa95a89b68 PERDEU particoes=[2, 5]
sensor-consumer-1  | 2026-09-21T22:06:44.188903644Z 2026-09-21 22:06:44.187 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-c0aa95a89b68 RECEBEU particoes=[3]
sensor-consumer-1  | 2026-09-21T22:07:17.194999823Z 2026-09-21 22:07:17.194 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-c0aa95a89b68 PERDEU particoes=[3]
sensor-consumer-1  | 2026-09-21T22:07:17.214219141Z 2026-09-21 22:07:17.212 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-c0aa95a89b68 RECEBEU particoes=[5]
sensor-consumer-1  | 2026-09-21T22:08:11.220455566Z 2026-09-21 22:08:11.219 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-c0aa95a89b68 PERDEU particoes=[5]
sensor-consumer-1  | 2026-09-21T22:08:11.228216417Z 2026-09-21 22:08:11.227 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-c0aa95a89b68 RECEBEU particoes=[2, 5]
sensor-consumer-2  | 2026-09-21T22:05:41.152897843Z 2026-09-21 22:05:41.152 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-5f3b04119deb RECEBEU particoes=[0, 2, 4]
sensor-consumer-2  | 2026-09-21T22:06:11.158547222Z 2026-09-21 22:06:11.157 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-5f3b04119deb PERDEU particoes=[0, 2, 4]
sensor-consumer-2  | 2026-09-21T22:06:11.167862986Z 2026-09-21 22:06:11.167 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-5f3b04119deb RECEBEU particoes=[1, 4]
sensor-consumer-2  | 2026-09-21T22:06:44.172318572Z 2026-09-21 22:06:44.171 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-5f3b04119deb PERDEU particoes=[1, 4]
sensor-consumer-2  | 2026-09-21T22:06:44.187661334Z 2026-09-21 22:06:44.187 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-5f3b04119deb RECEBEU particoes=[2]
sensor-consumer-2  | 2026-09-21T22:07:17.193722115Z 2026-09-21 22:07:17.193 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-5f3b04119deb PERDEU particoes=[2]
sensor-consumer-2  | 2026-09-21T22:07:17.214661078Z 2026-09-21 22:07:17.213 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-5f3b04119deb RECEBEU particoes=[4]
sensor-consumer-2  | 2026-09-21T22:08:11.215483248Z 2026-09-21 22:08:11.215 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-5f3b04119deb PERDEU particoes=[4]
sensor-consumer-2  | 2026-09-21T22:08:11.228591149Z 2026-09-21 22:08:11.227 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-5f3b04119deb RECEBEU particoes=[1, 4]
sensor-consumer-3  | 2026-09-21T22:06:11.180915497Z 2026-09-21 22:06:11.180 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-07b7cd127114 RECEBEU particoes=[0, 3]
sensor-consumer-3  | 2026-09-21T22:06:44.178230897Z 2026-09-21 22:06:44.177 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-07b7cd127114 PERDEU particoes=[0, 3]
sensor-consumer-3  | 2026-09-21T22:06:44.188860640Z 2026-09-21 22:06:44.187 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-07b7cd127114 RECEBEU particoes=[0]
sensor-consumer-3  | 2026-09-21T22:07:17.197722352Z 2026-09-21 22:07:17.197 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-07b7cd127114 PERDEU particoes=[0]
sensor-consumer-3  | 2026-09-21T22:07:17.214164136Z 2026-09-21 22:07:17.213 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-07b7cd127114 RECEBEU particoes=[0]
sensor-consumer-3  | 2026-09-21T22:08:11.221996895Z 2026-09-21 22:08:11.221 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-07b7cd127114 PERDEU particoes=[0]
sensor-consumer-3  | 2026-09-21T22:08:11.229589833Z 2026-09-21 22:08:11.228 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-07b7cd127114 RECEBEU particoes=[0, 3]
