sensor-consumer-1  | 2026-09-21T21:52:25.153031751Z Picked up JAVA_TOOL_OPTIONS: -Xms32m -Xmx128m
sensor-consumer-1  | 2026-09-21T21:52:25.391736502Z 2026-09-21 21:52:25.390 INFO SensorConsumer - [SensorConsumer.main] Iniciando consumidor=consumidor-c0aa95a89b68 grupo=processadores-sensores topico=dados-sensores
sensor-consumer-1  | 2026-09-21T21:52:31.009938958Z 2026-09-21 21:52:31.009 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=0 alertas=0 invalidas=0 particoes=[]
sensor-consumer-1  | 2026-09-21T21:52:33.328863897Z 2026-09-21 21:52:33.328 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-c0aa95a89b68 RECEBEU particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:52:33.401629587Z 2026-09-21 21:52:33.401 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=8 ATENCAO:temperatura=89.38(limite=80.00)
sensor-consumer-1  | 2026-09-21T21:52:33.410862201Z 2026-09-21 21:52:33.410 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=12 ATENCAO:temperatura=87.66(limite=80.00)
sensor-consumer-1  | 2026-09-21T21:52:36.211907781Z 2026-09-21 21:52:36.211 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=20 alertas=2 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:52:37.687015872Z 2026-09-21 21:52:37.686 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=22 ATENCAO:energia=655.91(limite=500.00)
sensor-consumer-1  | 2026-09-21T21:52:38.189279996Z 2026-09-21 21:52:38.188 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=23 ATENCAO:vibracao=10.81(limite=7.00)
sensor-consumer-1  | 2026-09-21T21:52:40.196843966Z 2026-09-21 21:52:40.196 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=27 ATENCAO:temperatura=95.85(limite=80.00)
sensor-consumer-1  | 2026-09-21T21:52:41.696563872Z 2026-09-21 21:52:41.696 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=31 alertas=5 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:52:42.695064211Z 2026-09-21 21:52:42.694 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=32 ATENCAO:energia=607.24(limite=500.00)
sensor-consumer-1  | 2026-09-21T21:52:46.702440339Z 2026-09-21 21:52:46.701 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=41 alertas=6 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:52:48.211543979Z 2026-09-21 21:52:48.210 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=43 ATENCAO:vibracao=9.04(limite=7.00)
sensor-consumer-1  | 2026-09-21T21:52:51.708868480Z 2026-09-21 21:52:51.708 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=51 alertas=7 invalidas=0 particoes=[1, 4]
sensor-consumer-3  | 2026-09-21T22:06:10.160806076Z Picked up JAVA_TOOL_OPTIONS: -Xms32m -Xmx128m
sensor-consumer-1  | 2026-09-21T21:52:52.208701808Z 2026-09-21 21:52:52.208 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=51 ATENCAO:vibracao=11.13(limite=7.00)
sensor-consumer-1  | 2026-09-21T21:52:56.239612918Z 2026-09-21 21:52:56.239 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=59 ATENCAO:vibracao=11.63(limite=7.00)
sensor-consumer-1  | 2026-09-21T21:52:56.715826215Z 2026-09-21 21:52:56.715 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=61 alertas=9 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:53:01.720469756Z 2026-09-21 21:53:01.720 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=71 alertas=9 invalidas=0 particoes=[1, 4]
sensor-consumer-2  | 2026-09-21T22:05:38.131188454Z Picked up JAVA_TOOL_OPTIONS: -Xms32m -Xmx128m
sensor-consumer-2  | 2026-09-21T22:05:38.277053083Z 2026-09-21 22:05:38.276 INFO SensorConsumer - [SensorConsumer.main] Iniciando consumidor=consumidor-5f3b04119deb grupo=processadores-sensores topico=dados-sensores
sensor-consumer-2  | 2026-09-21T22:05:41.152897843Z 2026-09-21 22:05:41.152 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-5f3b04119deb RECEBEU particoes=[0, 2, 4]
sensor-consumer-2  | 2026-09-21T22:05:43.456956478Z 2026-09-21 22:05:43.456 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=1592 ATENCAO:energia=610.15(limite=500.00)
sensor-consumer-2  | 2026-09-21T22:05:43.686463725Z 2026-09-21 22:05:43.686 INFO SensorConsumer - [STATS] consumidor=consumidor-5f3b04119deb processadas=11 alertas=1 invalidas=0 particoes=[0, 2, 4]
sensor-consumer-2  | 2026-09-21T22:05:44.971487308Z 2026-09-21 22:05:44.970 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=1595 ATENCAO:vibracao=10.66(limite=7.00)
sensor-consumer-1  | 2026-09-21T21:53:06.229497526Z 2026-09-21 21:53:06.228 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=79 CRITICO:temperatura=107.82(limite=80.00)
sensor-consumer-1  | 2026-09-21T21:53:06.729309068Z 2026-09-21 21:53:06.728 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=81 alertas=10 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:53:11.738720799Z 2026-09-21 21:53:11.738 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=91 alertas=10 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:53:16.744123725Z 2026-09-21 21:53:16.743 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=101 alertas=10 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:53:17.244564460Z 2026-09-21 21:53:17.243 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=101 ATENCAO:energia=660.03(limite=500.00)
sensor-consumer-1  | 2026-09-21T21:53:21.749447507Z 2026-09-21 21:53:21.748 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=111 alertas=11 invalidas=0 particoes=[1, 4]
sensor-consumer-3  | 2026-09-21T22:06:10.295986815Z 2026-09-21 22:06:10.295 INFO SensorConsumer - [SensorConsumer.main] Iniciando consumidor=consumidor-07b7cd127114 grupo=processadores-sensores topico=dados-sensores
sensor-consumer-3  | 2026-09-21T22:06:11.180915497Z 2026-09-21 22:06:11.180 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-07b7cd127114 RECEBEU particoes=[0, 3]
sensor-consumer-3  | 2026-09-21T22:06:11.723763449Z 2026-09-21 22:06:11.723 WARN RegistroAlertas - [ALERTA] sensor=sensor-9caa6b672dc8 setor=linha-producao particao=3 offset=1649 ATENCAO:vibracao=9.25(limite=7.00)
sensor-consumer-3  | 2026-09-21T22:06:12.196265276Z 2026-09-21 22:06:12.195 WARN RegistroAlertas - [ALERTA] sensor=sensor-482f699b5e27 setor=linha-producao particao=0 offset=1649 ATENCAO:energia=687.78(limite=500.00)
sensor-consumer-2  | 2026-09-21T22:05:48.963008823Z 2026-09-21 22:05:48.962 INFO SensorConsumer - [STATS] consumidor=consumidor-5f3b04119deb processadas=32 alertas=2 invalidas=0 particoes=[0, 2, 4]
sensor-consumer-2  | 2026-09-21T22:05:49.462615367Z 2026-09-21 22:05:49.461 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=1604 ATENCAO:vibracao=8.60(limite=7.00)
sensor-consumer-2  | 2026-09-21T22:05:53.473737146Z 2026-09-21 22:05:53.472 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=1612 ATENCAO:vibracao=11.23(limite=7.00)
sensor-consumer-2  | 2026-09-21T22:05:53.966110187Z 2026-09-21 22:05:53.965 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=1613 ATENCAO:vibracao=11.02(limite=7.00)
sensor-consumer-3  | 2026-09-21T22:06:13.212709656Z 2026-09-21 22:06:13.211 WARN RegistroAlertas - [ALERTA] sensor=sensor-482f699b5e27 setor=linha-producao particao=0 offset=1651 ATENCAO:vibracao=9.05(limite=7.00)
sensor-consumer-3  | 2026-09-21T22:06:13.724007782Z 2026-09-21 22:06:13.723 WARN RegistroAlertas - [ALERTA] sensor=sensor-9caa6b672dc8 setor=linha-producao particao=3 offset=1653 ATENCAO:energia=670.66(limite=500.00)
sensor-consumer-3  | 2026-09-21T22:06:14.728298035Z 2026-09-21 22:06:14.726 WARN RegistroAlertas - [ALERTA] sensor=sensor-9caa6b672dc8 setor=linha-producao particao=3 offset=1655 ATENCAO:vibracao=10.56(limite=7.00)
sensor-consumer-3  | 2026-09-21T22:06:15.708326277Z 2026-09-21 22:06:15.707 INFO SensorConsumer - [STATS] consumidor=consumidor-07b7cd127114 processadas=19 alertas=5 invalidas=0 particoes=[0, 3]
sensor-consumer-1  | 2026-09-21T21:53:23.762200280Z 2026-09-21 21:53:23.761 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=114 ATENCAO:vibracao=10.75(limite=7.00)
sensor-consumer-2  | 2026-09-21T22:05:53.969384756Z 2026-09-21 22:05:53.968 INFO SensorConsumer - [STATS] consumidor=consumidor-5f3b04119deb processadas=52 alertas=5 invalidas=0 particoes=[0, 2, 4]
sensor-consumer-2  | 2026-09-21T22:05:56.683774600Z 2026-09-21 22:05:56.683 WARN RegistroAlertas - [ALERTA] sensor=sensor-482f699b5e27 setor=linha-producao particao=0 offset=1618 ATENCAO:vibracao=11.05(limite=7.00)
sensor-consumer-3  | 2026-09-21T22:06:17.730702532Z 2026-09-21 22:06:17.730 WARN RegistroAlertas - [ALERTA] sensor=sensor-9caa6b672dc8 setor=linha-producao particao=3 offset=1661 ATENCAO:energia=697.43(limite=500.00)
sensor-consumer-3  | 2026-09-21T22:06:19.214349069Z 2026-09-21 22:06:19.213 WARN RegistroAlertas - [ALERTA] sensor=sensor-482f699b5e27 setor=linha-producao particao=0 offset=1663 ATENCAO:energia=596.78(limite=500.00)
sensor-consumer-3  | 2026-09-21T22:06:20.729365333Z 2026-09-21 22:06:20.728 INFO SensorConsumer - [STATS] consumidor=consumidor-07b7cd127114 processadas=40 alertas=7 invalidas=0 particoes=[0, 3]
sensor-consumer-3  | 2026-09-21T22:06:22.730408900Z 2026-09-21 22:06:22.729 WARN RegistroAlertas - [ALERTA] sensor=sensor-9caa6b672dc8 setor=linha-producao particao=3 offset=1671 CRITICO:temperatura=101.86(limite=80.00)
sensor-consumer-3  | 2026-09-21T22:06:25.729269499Z 2026-09-21 22:06:25.728 INFO SensorConsumer - [STATS] consumidor=consumidor-07b7cd127114 processadas=60 alertas=8 invalidas=0 particoes=[0, 3]
sensor-consumer-3  | 2026-09-21T22:06:26.209036051Z 2026-09-21 22:06:26.208 WARN RegistroAlertas - [ALERTA] sensor=sensor-482f699b5e27 setor=linha-producao particao=0 offset=1677 ATENCAO:vibracao=10.13(limite=7.00)
sensor-consumer-3  | 2026-09-21T22:06:27.734368749Z 2026-09-21 22:06:27.734 WARN RegistroAlertas - [ALERTA] sensor=sensor-9caa6b672dc8 setor=linha-producao particao=3 offset=1681 ATENCAO:energia=555.99(limite=500.00)
sensor-consumer-3  | 2026-09-21T22:06:30.733984487Z 2026-09-21 22:06:30.733 INFO SensorConsumer - [STATS] consumidor=consumidor-07b7cd127114 processadas=80 alertas=10 invalidas=0 particoes=[0, 3]
sensor-consumer-3  | 2026-09-21T22:06:31.226540959Z 2026-09-21 22:06:31.225 WARN RegistroAlertas - [ALERTA] sensor=sensor-482f699b5e27 setor=linha-producao particao=0 offset=1687 ATENCAO:energia=599.57(limite=500.00)
sensor-consumer-2  | 2026-09-21T22:05:58.971179474Z 2026-09-21 22:05:58.970 INFO SensorConsumer - [STATS] consumidor=consumidor-5f3b04119deb processadas=72 alertas=6 invalidas=0 particoes=[0, 2, 4]
sensor-consumer-2  | 2026-09-21T22:06:02.984078423Z 2026-09-21 22:06:02.983 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=1631 CRITICO:temperatura=102.91(limite=80.00)
sensor-consumer-2  | 2026-09-21T22:06:03.974312920Z 2026-09-21 22:06:03.973 INFO SensorConsumer - [STATS] consumidor=consumidor-5f3b04119deb processadas=92 alertas=7 invalidas=0 particoes=[0, 2, 4]
sensor-consumer-2  | 2026-09-21T22:06:06.694748580Z 2026-09-21 22:06:06.694 WARN RegistroAlertas - [ALERTA] sensor=sensor-482f699b5e27 setor=linha-producao particao=0 offset=1638 ATENCAO:temperatura=90.73(limite=80.00)
sensor-consumer-2  | 2026-09-21T22:06:08.979086365Z 2026-09-21 22:06:08.978 INFO SensorConsumer - [STATS] consumidor=consumidor-5f3b04119deb processadas=112 alertas=8 invalidas=0 particoes=[0, 2, 4]
sensor-consumer-2  | 2026-09-21T22:06:11.158547222Z 2026-09-21 22:06:11.157 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-5f3b04119deb PERDEU particoes=[0, 2, 4]
sensor-consumer-1  | 2026-09-21T21:53:25.250481899Z 2026-09-21 21:53:25.249 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=117 ATENCAO:vibracao=10.94(limite=7.00)
sensor-consumer-1  | 2026-09-21T21:53:26.754862996Z 2026-09-21 21:53:26.753 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=120 alertas=13 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:53:29.758900942Z 2026-09-21 21:53:29.758 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=126 ATENCAO:temperatura=91.30(limite=80.00)
sensor-consumer-1  | 2026-09-21T21:53:30.761541149Z 2026-09-21 21:53:30.760 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=128 ATENCAO:temperatura=99.91(limite=80.00)
sensor-consumer-1  | 2026-09-21T21:53:31.767182571Z 2026-09-21 21:53:31.766 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=130 alertas=15 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:53:32.272824133Z 2026-09-21 21:53:32.272 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=131 ATENCAO:vibracao=10.36(limite=7.00)
sensor-consumer-1  | 2026-09-21T21:53:34.768227257Z 2026-09-21 21:53:34.767 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=136 ATENCAO:energia=626.73(limite=500.00)
sensor-consumer-1  | 2026-09-21T21:53:36.781381594Z 2026-09-21 21:53:36.780 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=141 alertas=17 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:53:40.784713806Z 2026-09-21 21:53:40.784 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=148 ATENCAO:vibracao=9.09(limite=7.00)
sensor-consumer-1  | 2026-09-21T21:53:41.783413455Z 2026-09-21 21:53:41.782 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=151 alertas=18 invalidas=0 particoes=[1, 4]
sensor-consumer-2  | 2026-09-21T22:06:11.167862986Z 2026-09-21 22:06:11.167 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-5f3b04119deb RECEBEU particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:53:47.283554720Z 2026-09-21 21:53:47.283 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=162 alertas=18 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:53:47.783704968Z 2026-09-21 21:53:47.783 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=162 ATENCAO:temperatura=96.13(limite=80.00)
sensor-consumer-1  | 2026-09-21T21:53:48.791828117Z 2026-09-21 21:53:48.791 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=164 ATENCAO:temperatura=90.48(limite=80.00)
sensor-consumer-1  | 2026-09-21T21:53:49.787164561Z 2026-09-21 21:53:49.786 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=166 ATENCAO:vibracao=11.38(limite=7.00)
sensor-consumer-1  | 2026-09-21T21:53:52.779518827Z 2026-09-21 21:53:52.779 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=173 alertas=21 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:53:54.782442302Z 2026-09-21 21:53:54.782 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=176 ATENCAO:energia=698.05(limite=500.00)
sensor-consumer-1  | 2026-09-21T21:53:57.794949434Z 2026-09-21 21:53:57.794 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=183 alertas=22 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:54:00.793483781Z 2026-09-21 21:54:00.792 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=188 ATENCAO:energia=669.20(limite=500.00)
