sensor-producer-2  | 2026-09-21T21:52:24.922359533Z Picked up JAVA_TOOL_OPTIONS: -Xms32m -Xmx128m
sensor-producer-2  | 2026-09-21T21:52:25.128073238Z 2026-09-21 21:52:25.123 INFO SensorProducer - [SensorProducer.main] Iniciando sensor=sensor-9caa6b672dc8 setor=linha-producao topico=dados-sensores intervaloMs=500 probAnomalia=0.1
sensor-producer-1  | 2026-09-21T21:52:25.333707542Z Picked up JAVA_TOOL_OPTIONS: -Xms32m -Xmx128m
sensor-producer-2  | 2026-09-21T21:52:30.934579583Z 2026-09-21 21:52:30.934 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=10 entregues=9 falhas=0
sensor-producer-2  | 2026-09-21T21:52:35.941300366Z 2026-09-21 21:52:35.940 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=20 entregues=19 falhas=0
sensor-producer-2  | 2026-09-21T21:52:40.951949062Z 2026-09-21 21:52:40.951 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=30 entregues=29 falhas=0
sensor-producer-3  | 2026-09-21T21:52:25.140262140Z Picked up JAVA_TOOL_OPTIONS: -Xms32m -Xmx128m
sensor-producer-3  | 2026-09-21T21:52:25.362806923Z 2026-09-21 21:52:25.360 INFO SensorProducer - [SensorProducer.main] Iniciando sensor=sensor-ecea9084327b setor=linha-producao topico=dados-sensores intervaloMs=500 probAnomalia=0.1
sensor-producer-2  | 2026-09-21T21:52:45.961172302Z 2026-09-21 21:52:45.960 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=40 entregues=39 falhas=0
sensor-producer-2  | 2026-09-21T21:52:50.969762165Z 2026-09-21 21:52:50.968 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=50 entregues=49 falhas=0
sensor-producer-2  | 2026-09-21T21:52:55.974910510Z 2026-09-21 21:52:55.974 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=60 entregues=59 falhas=0
sensor-producer-2  | 2026-09-21T21:53:00.983044908Z 2026-09-21 21:53:00.982 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=70 entregues=69 falhas=0
sensor-producer-1  | 2026-09-21T21:52:25.530983807Z 2026-09-21 21:52:25.530 INFO SensorProducer - [SensorProducer.main] Iniciando sensor=sensor-482f699b5e27 setor=linha-producao topico=dados-sensores intervaloMs=500 probAnomalia=0.1
sensor-producer-1  | 2026-09-21T21:52:31.393957527Z 2026-09-21 21:52:31.393 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=10 entregues=9 falhas=0
